Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,34.42,17.36,34.00,31.89,100.00,0
50,34.92,18.11,34.45,32.14,100.00,0
75,35.46,18.91,34.94,32.43,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,38.84,12.23,37.40,32.85,100.00,0
0.04,37.10,19.06,36.62,32.15,100.00,0
0.08,34.09,19.74,33.97,32.08,100.00,0
0.11,37.13,23.89,36.11,32.44,100.00,0
0.15,31.64,20.28,31.68,32.57,100.00,0
0.18,33.49,14.50,33.46,32.50,100.00,0
0.21,34.83,12.99,34.45,33.03,100.00,0
0.25,36.14,13.48,35.80,32.88,100.00,0
0.28,34.29,15.20,33.99,32.63,100.00,0
0.32,34.63,14.46,34.23,33.23,100.00,0
0.35,35.42,13.61,35.17,33.22,100.00,0
0.39,40.30,13.47,39.18,33.25,100.00,0
0.43,30.13,15.92,30.20,33.17,100.00,0
0.46,35.08,13.07,34.60,33.11,100.00,0
0.49,35.89,14.02,35.04,32.86,100.00,0
0.53,34.88,17.08,34.98,33.15,100.00,0
0.56,39.57,14.64,38.89,32.99,100.00,0
0.60,36.80,20.71,35.31,32.58,100.00,0
0.64,35.82,22.12,35.76,32.82,100.00,0
0.68,33.91,21.28,33.90,32.31,100.00,0
0.71,34.75,18.73,33.94,32.26,100.00,0
0.74,33.39,18.73,33.15,32.36,100.00,0
0.78,34.09,17.25,33.93,32.21,100.00,0
0.81,35.07,16.07,34.68,32.50,100.00,0
0.85,33.75,14.36,33.56,32.61,100.00,0
0.88,35.94,15.13,35.50,33.17,100.00,0
0.92,36.45,16.85,36.00,33.15,100.00,0
0.95,35.08,15.51,34.78,33.01,100.00,0
0.99,36.32,16.63,36.16,33.48,100.00,0
1.02,34.73,15.13,34.36,33.35,100.00,0
1.06,36.47,13.47,35.20,33.43,100.00,0
1.10,34.50,14.87,34.75,33.09,100.00,0
1.13,41.81,17.21,40.19,33.55,100.00,0
1.17,35.63,24.13,35.31,32.89,100.00,0
1.21,35.04,21.55,34.87,32.71,100.00,0
1.24,32.20,20.56,32.38,32.64,100.00,0
1.28,34.71,16.89,34.37,32.54,100.00,0
1.31,35.04,22.05,34.98,33.05,100.00,0
1.34,39.33,14.20,38.22,33.16,100.00,0
1.38,29.76,17.49,30.11,33.19,100.00,0
1.41,37.91,11.82,36.58,33.23,100.00,0
1.45,33.10,16.79,33.77,33.14,100.00,0
1.49,41.31,14.10,40.06,33.67,100.00,0
1.53,36.07,21.97,35.39,33.29,100.00,0
1.56,30.49,21.77,31.25,33.05,100.00,0
1.59,35.15,14.80,34.90,33.13,100.00,0
1.63,35.63,12.58,35.10,33.60,100.00,0
1.66,40.77,13.76,39.39,33.38,100.00,0
1.70,36.12,20.46,35.58,32.38,100.00,0
1.74,36.30,20.85,35.54,32.32,100.00,0
1.78,34.95,22.63,34.69,32.65,100.00,0
1.81,32.11,20.70,32.37,32.45,100.00,0
1.84,33.76,14.82,33.70,32.86,100.00,0
1.88,35.56,14.29,34.64,33.61,100.00,0
1.91,37.12,13.98,37.67,34.02,100.00,0
1.95,35.02,13.71,34.47,33.31,100.00,0
1.99,36.45,15.65,36.41,34.26,100.00,0
2.02,40.01,13.93,38.36,33.82,100.00,0
2.06,35.89,18.86,35.64,33.19,100.00,0
2.10,35.59,26.23,35.29,32.63,100.00,0
2.13,36.20,18.94,35.57,32.51,100.00,0
2.17,28.87,20.91,29.46,31.99,100.00,0
2.20,34.84,12.88,34.50,32.87,100.00,0
2.23,38.58,13.27,36.94,32.93,100.00,0
2.27,37.65,19.89,37.15,32.36,100.00,0
2.31,35.60,25.55,35.31,31.95,100.00,0
2.35,35.05,19.69,34.60,32.46,100.00,0
2.38,34.70,19.42,34.21,32.52,100.00,0
2.41,33.75,17.46,33.83,32.54,100.00,0
2.45,34.60,14.71,33.98,32.74,100.00,0
2.48,38.40,19.46,37.56,32.66,100.00,0
2.52,33.76,19.46,33.63,32.57,100.00,0
2.56,32.09,18.03,32.14,32.74,100.00,0
2.59,34.28,13.51,34.16,33.03,100.00,0
2.62,35.91,12.57,35.44,33.51,100.00,0
2.66,40.25,12.31,39.07,33.49,100.00,0
2.70,31.61,17.74,31.93,33.39,100.00,0
2.73,39.73,11.75,38.61,33.22,100.00,0
2.77,44.27,16.20,43.56,33.87,100.00,0
2.81,32.86,19.64,32.38,32.15,100.00,0
2.85,32.54,13.22,32.92,32.82,100.00,0
2.88,35.52,14.12,35.58,33.65,100.00,0
2.91,40.92,14.26,39.91,34.48,100.00,0
2.96,30.58,15.02,30.77,33.64,100.00,0
2.99,37.98,12.48,37.63,34.65,100.00,0
3.02,33.65,13.11,33.45,33.41,100.00,0
3.06,35.44,12.64,35.00,33.08,100.00,0
3.09,34.94,13.59,34.56,32.88,100.00,0
3.13,39.52,12.41,38.52,32.88,100.00,0
3.17,31.96,18.84,32.36,32.61,100.00,0
3.20,33.01,15.97,32.69,32.83,100.00,0
3.23,35.19,13.99,34.81,33.05,100.00,0
3.27,34.69,13.02,34.38,33.05,100.00,0
3.30,37.28,13.05,36.65,32.77,100.00,0
3.34,35.94,16.96,35.14,32.32,100.00,0
3.38,34.71,17.22,34.24,31.70,100.00,0
3.41,37.23,18.86,36.15,31.48,100.00,0
3.45,35.32,26.22,35.02,31.80,100.00,0
3.48,35.23,22.74,34.51,32.49,100.00,0
3.52,34.90,23.73,35.03,32.95,100.00,0
3.55,36.74,20.24,36.13,32.76,100.00,0
3.59,33.34,19.75,33.23,32.78,100.00,0
3.62,32.72,15.60,32.63,33.02,100.00,0
3.66,39.48,13.62,38.52,33.22,100.00,0
3.70,32.03,17.16,32.42,33.51,100.00,0
3.73,35.55,11.77,35.09,33.55,100.00,0
3.76,41.89,12.34,40.74,33.50,100.00,0
3.80,35.04,18.82,34.55,32.65,100.00,0
3.84,35.78,21.47,35.28,32.40,100.00,0
3.88,36.07,18.02,35.48,33.11,100.00,0
3.91,35.39,20.31,35.06,32.98,100.00,0
3.95,30.64,18.75,30.55,32.12,100.00,0
3.98,41.32,14.31,40.49,33.03,100.00,0
4.02,30.71,19.43,30.93,32.57,100.00,0
4.05,35.83,13.72,35.68,33.06,100.00,0
4.09,34.91,15.36,34.57,33.46,100.00,0
4.12,35.73,14.13,35.08,33.56,100.00,0
4.16,41.19,17.02,40.30,33.38,100.00,0
4.20,35.94,20.74,35.42,32.83,100.00,0
4.23,35.71,19.47,35.53,32.95,100.00,0
4.27,36.68,19.60,35.88,33.07,100.00,0
4.31,35.28,19.45,34.90,32.58,100.00,0
4.34,35.30,19.21,34.99,32.40,100.00,0
4.38,35.26,19.75,34.68,32.44,100.00,0
4.41,36.09,19.21,35.64,32.30,100.00,0
4.45,34.26,21.12,33.69,31.46,100.00,0
4.48,34.87,22.52,34.44,31.72,100.00,0
4.52,34.62,19.23,34.05,31.97,100.00,0
4.55,34.97,21.26,34.70,31.89,100.00,0
4.59,35.50,18.62,35.06,32.20,100.00,0
4.62,31.55,20.13,31.92,32.67,100.00,0
4.65,37.72,14.88,36.64,32.44,100.00,0
4.69,54.96,19.20,36.05,32.83,100.00,0
4.75,26.56,39.16,44.16,32.83,100.00,0
4.77,34.55,21.21,34.05,34.02,100.00,0
4.81,32.22,20.03,32.34,32.18,100.00,0
4.84,34.03,15.11,33.93,32.62,100.00,0
4.87,34.65,13.82,34.53,33.25,100.00,0
4.91,37.90,12.33,36.93,33.62,100.00,0
4.95,36.48,14.49,36.30,33.17,100.00,0
4.98,36.30,16.82,35.28,32.62,100.00,0
5.02,35.07,18.58,34.27,32.12,100.00,0
5.05,35.38,21.22,34.83,32.25,100.00,0
5.09,35.11,20.03,34.72,31.95,100.00,0
5.12,34.08,21.89,34.06,32.68,100.00,0
5.16,33.90,16.55,33.96,33.00,100.00,0
5.19,34.54,14.34,34.33,32.91,100.00,0
5.23,38.86,13.51,37.46,33.03,100.00,0
5.27,30.33,15.87,30.60,32.66,100.00,0
5.30,37.95,11.85,37.19,32.69,100.00,0
5.33,35.28,17.67,34.58,32.10,100.00,0
5.37,33.97,16.95,33.51,31.33,100.00,0
5.40,35.04,17.55,34.86,31.77,100.00,0
5.44,34.68,18.78,34.30,31.84,100.00,0
5.47,35.45,18.64,35.11,32.07,100.00,0
5.51,34.62,17.56,34.16,32.24,100.00,0
5.54,33.94,17.79,33.59,31.87,100.00,0
5.58,35.20,17.56,34.34,31.90,100.00,0
5.61,33.26,18.09,33.37,31.90,100.00,0
5.65,34.89,17.32,34.52,31.75,100.00,0
5.68,35.58,18.20,34.92,32.07,100.00,0
5.72,34.76,17.09,33.90,31.46,100.00,0
5.75,35.28,19.82,34.93,32.36,100.00,0
5.79,35.19,17.29,34.61,32.29,100.00,0
5.82,35.39,18.65,35.10,32.35,100.00,0
5.86,34.35,19.07,33.81,32.18,100.00,0
5.89,34.98,18.64,34.45,31.81,100.00,0
5.93,34.81,17.73,34.34,32.09,100.00,0
5.96,35.91,17.63,35.33,31.97,100.00,0
6.00,36.53,22.49,35.71,31.94,100.00,0
6.03,34.69,23.38,34.02,32.50,100.00,0
