Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,39.63,17.97,30.19,40.67,100.00,0
50,44.07,18.74,42.89,41.14,100.00,0
75,44.79,19.42,44.48,41.58,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,31.90,19.27,31.41,41.06,100.00,0
0.03,55.00,19.87,54.38,44.09,100.00,0
0.09,33.49,22.03,32.85,44.28,100.00,0
0.12,46.92,21.34,30.35,43.35,100.00,0
0.17,44.01,21.71,48.97,42.00,100.00,0
0.21,47.73,17.74,36.94,45.32,100.00,0
0.26,47.08,15.61,44.08,43.45,100.00,0
0.31,46.90,14.98,48.27,44.26,100.00,0
0.35,47.65,16.43,43.53,44.60,100.00,0
0.40,46.81,15.05,50.73,43.18,100.00,0
0.45,46.74,20.36,53.89,43.11,100.00,0
0.49,45.77,22.31,46.28,42.00,100.00,0
0.54,47.14,20.72,45.03,43.39,100.00,0
0.59,46.15,18.47,37.97,43.41,100.00,0
0.63,49.84,14.56,43.15,45.26,100.00,0
0.68,46.21,23.39,58.93,42.57,100.00,0
0.73,46.14,20.73,38.87,43.32,100.00,0
0.78,46.47,15.52,42.23,44.00,100.00,0
0.82,48.21,12.83,47.45,43.64,100.00,0
0.87,44.83,20.93,52.53,41.58,100.00,0
0.91,46.22,21.61,47.54,42.06,100.00,0
0.96,45.83,20.06,46.71,41.94,100.00,0
1.01,46.06,25.34,41.89,42.87,100.00,0
1.05,45.98,22.78,46.16,42.65,100.00,0
1.10,45.43,16.95,39.38,42.78,100.00,0
1.14,48.86,15.57,40.68,44.49,100.00,0
1.19,46.24,19.29,58.03,43.18,100.00,0
1.24,46.44,20.86,45.90,42.81,100.00,0
1.29,46.32,19.43,39.35,42.27,100.00,0
1.33,46.41,14.97,44.88,43.20,100.00,0
1.38,45.83,15.74,44.55,43.57,100.00,0
1.42,45.84,12.99,42.71,41.56,100.00,0
1.47,84.98,19.65,109.38,42.19,100.00,0
1.56,35.50,24.98,33.59,42.33,100.00,0
1.59,22.06,16.12,23.66,43.64,100.00,0
1.61,40.72,13.42,20.88,42.62,100.00,0
1.65,47.78,14.83,46.02,43.34,100.00,0
1.70,45.96,20.63,48.16,42.45,100.00,0
1.75,80.88,18.08,96.09,39.94,100.00,0
1.83,30.38,21.37,30.19,40.72,100.00,0
1.86,30.59,18.13,30.07,41.92,100.00,0
1.89,73.30,16.62,72.46,40.34,100.00,0
1.96,30.38,19.83,29.35,40.59,100.00,0
1.99,30.67,17.20,29.94,41.89,100.00,0
2.02,45.18,17.90,28.75,51.32,100.00,0
2.07,42.61,18.47,45.70,39.19,100.00,0
2.11,44.42,20.99,39.54,41.17,100.00,0
2.16,43.01,19.34,45.61,39.90,100.00,0
2.20,44.44,19.04,41.14,40.88,100.00,0
2.24,43.08,18.05,43.76,39.62,100.00,0
2.29,79.38,18.57,92.61,40.01,100.00,0
2.37,28.92,19.37,28.35,39.00,100.00,0
2.39,30.63,17.32,29.81,40.63,100.00,0
2.43,34.39,17.17,28.53,41.02,100.00,0
2.46,43.57,20.14,35.04,40.56,100.00,0
2.50,43.54,19.97,41.36,40.21,100.00,0
2.55,43.17,21.43,44.79,40.24,100.00,0
2.59,43.92,20.45,43.90,40.96,100.00,0
2.63,81.34,19.23,91.61,40.56,100.00,0
2.72,29.89,21.55,29.83,39.50,100.00,0
2.75,26.56,15.93,26.11,41.26,100.00,0
2.77,37.10,14.14,22.36,42.59,100.00,0
2.81,46.16,13.43,34.05,42.69,100.00,0
2.85,44.26,19.89,56.13,41.42,100.00,0
2.90,43.81,21.02,42.77,40.76,100.00,0
2.94,43.91,19.33,38.96,41.04,100.00,0
2.99,44.26,20.46,48.29,40.96,100.00,0
3.03,72.10,20.59,84.67,40.77,100.00,0
3.10,24.60,15.88,23.96,40.73,100.00,0
3.13,34.76,16.30,24.90,42.72,100.00,0
3.16,44.61,14.57,30.48,42.22,100.00,0
3.21,44.66,13.36,44.02,41.29,100.00,0
3.25,84.10,17.61,104.85,41.10,100.00,0
3.34,21.75,15.56,22.49,40.04,100.00,0
3.36,31.02,15.12,29.53,41.19,100.00,0
3.39,78.45,18.71,77.30,40.75,100.00,0
3.47,31.09,21.32,31.25,42.69,100.00,0
3.50,26.63,16.92,25.96,41.81,100.00,0
3.52,37.39,13.90,19.88,42.64,100.00,0
3.56,44.87,15.28,39.81,42.35,100.00,0
3.61,44.96,15.93,46.04,41.00,100.00,0
3.65,44.41,20.12,44.52,41.57,100.00,0
3.70,44.45,19.92,49.07,41.14,100.00,0
3.74,44.13,19.27,38.85,41.07,100.00,0
3.79,43.93,17.90,47.65,40.52,100.00,0
3.83,45.57,19.08,43.58,41.78,100.00,0
3.87,43.10,17.31,43.84,39.54,100.00,0
3.92,42.54,18.79,43.52,39.57,100.00,0
3.96,43.71,19.16,41.66,40.51,100.00,0
4.00,43.42,18.86,43.02,40.46,100.00,0
4.05,78.37,17.92,91.00,39.69,100.00,0
4.13,30.10,18.80,29.51,39.22,100.00,0
4.16,56.44,15.95,55.64,40.22,100.00,0
4.21,29.25,17.80,28.63,39.61,100.00,0
4.24,29.88,17.42,29.48,40.45,100.00,0
4.27,71.94,17.74,70.13,39.86,100.00,0
4.34,29.07,18.26,28.55,40.27,100.00,0
4.37,29.50,18.12,29.43,40.77,100.00,0
4.40,34.07,19.02,28.01,40.77,100.00,0
4.44,80.01,16.90,84.26,40.17,100.00,0
4.52,30.10,17.79,29.25,38.88,100.00,0
4.55,30.92,17.90,30.33,40.32,100.00,0
4.58,32.01,19.80,31.38,41.29,100.00,0
4.61,44.81,20.96,31.47,41.90,100.00,0
4.65,44.76,20.59,44.35,41.21,100.00,0
4.70,44.37,20.25,42.37,41.33,100.00,0
4.74,44.55,19.55,43.22,41.58,100.00,0
4.79,43.02,19.57,42.02,41.40,100.00,0
4.83,44.62,14.36,35.27,41.00,100.00,0
4.88,44.24,19.26,47.52,41.44,100.00,0
4.92,44.15,19.25,48.82,41.18,100.00,0
4.96,43.89,19.77,45.19,41.21,100.00,0
5.01,43.98,18.32,41.92,40.83,100.00,0
5.05,43.39,19.50,42.36,39.97,100.00,0
5.09,43.25,19.09,42.47,39.93,100.00,0
5.14,43.03,18.80,42.63,40.07,100.00,0
5.18,43.39,17.77,42.91,40.29,100.00,0
5.22,44.27,18.71,43.87,40.75,100.00,0
5.27,45.03,22.46,44.97,40.97,100.00,0
5.31,44.12,22.13,43.38,41.03,100.00,0
5.36,80.05,21.07,92.23,40.59,100.00,0
5.44,25.76,16.57,25.53,39.74,100.00,0
5.46,24.13,14.48,23.39,41.95,100.00,0
5.49,45.82,14.13,21.21,42.11,100.00,0
5.53,44.17,18.53,55.03,41.33,100.00,0
5.58,44.88,20.19,42.54,41.33,100.00,0
5.62,42.52,20.41,38.62,40.50,100.00,0
5.67,43.09,16.06,44.98,39.83,100.00,0
5.71,78.59,19.78,92.19,39.86,100.00,0
5.79,29.25,19.30,28.89,39.47,100.00,0
5.82,28.79,17.01,28.51,40.48,100.00,0
5.85,36.28,18.05,27.04,40.80,100.00,0
5.88,44.02,19.13,35.65,41.04,100.00,0
5.93,43.71,18.17,45.02,40.33,100.00,0
5.97,43.83,17.95,43.27,40.34,100.00,0
6.01,43.24,19.48,41.68,40.67,100.00,0
6.06,79.16,18.63,92.67,40.35,100.00,0
6.14,28.63,21.92,28.30,39.38,100.00,0
6.16,56.89,17.05,56.24,40.66,100.00,0
6.22,29.15,18.87,28.39,40.05,100.00,0
6.25,29.26,17.13,28.61,41.50,100.00,0
6.28,38.32,19.73,28.40,41.11,100.00,0
6.32,44.23,19.14,38.84,41.06,100.00,0
6.36,43.19,19.06,43.25,40.26,100.00,0
6.40,43.23,18.41,42.92,39.87,100.00,0
6.45,79.96,18.28,91.63,39.68,100.00,0
6.53,30.28,18.90,29.71,38.76,100.00,0
6.56,31.35,18.93,30.70,40.49,100.00,0
6.59,31.04,17.93,28.01,41.15,100.00,0
6.62,44.06,18.25,30.56,40.65,100.00,0
6.66,43.25,20.00,44.87,40.26,100.00,0
6.71,43.39,18.94,42.41,40.04,100.00,0
6.75,42.65,19.50,41.74,39.75,100.00,0
6.79,43.19,18.93,41.83,39.99,100.00,0
6.84,42.97,18.30,43.02,40.07,100.00,0
6.88,43.28,19.02,41.09,40.09,100.00,0
6.92,43.20,17.84,43.15,40.07,100.00,0
6.97,43.57,20.12,42.30,40.37,100.00,0
7.01,43.35,18.15,42.84,40.39,100.00,0
7.05,51.55,18.33,44.48,39.85,100.00,0
7.11,43.05,19.54,48.59,39.92,100.00,0
7.15,43.85,18.25,42.24,40.39,100.00,0
7.19,43.81,18.90,43.65,40.91,100.00,0
7.24,43.04,19.65,42.77,40.24,100.00,0
7.28,43.71,18.18,41.86,40.48,100.00,0
7.32,44.86,21.89,46.87,41.08,100.00,0
7.37,44.50,20.95,42.36,41.63,100.00,0
7.41,44.86,23.94,45.47,41.38,100.00,0
7.46,43.86,22.62,44.09,40.85,100.00,0
7.50,42.88,18.99,39.90,40.90,100.00,0
7.54,45.38,13.98,34.91,41.88,100.00,0
7.59,44.43,19.95,54.07,41.47,100.00,0
7.63,43.81,20.47,43.55,40.50,100.00,0
7.68,42.53,19.03,44.49,39.79,100.00,0
7.72,44.75,18.34,42.70,41.58,100.00,0
7.76,44.73,20.32,43.54,41.50,100.00,0
7.81,43.13,21.19,42.71,41.12,100.00,0
7.85,44.41,14.73,37.33,40.75,100.00,0
7.90,78.16,17.78,95.80,39.91,100.00,0
7.98,31.05,19.84,30.55,39.43,100.00,0
8.01,29.82,16.88,29.27,40.40,100.00,0
8.04,33.93,16.00,28.06,40.63,100.00,0
8.07,43.89,20.26,35.09,40.86,100.00,0
8.11,42.61,19.29,41.67,39.45,100.00,0
8.16,43.11,19.06,42.31,40.05,100.00,0
8.20,43.79,19.24,41.55,40.80,100.00,0
8.24,44.18,19.08,42.92,40.66,100.00,0
8.29,43.20,18.66,43.50,40.09,100.00,0
8.33,42.92,19.20,42.80,39.98,100.00,0
8.37,43.45,19.79,42.11,40.24,100.00,0
8.42,43.03,19.94,42.22,40.22,100.00,0
8.46,43.62,18.79,43.60,40.67,100.00,0
8.50,43.69,20.01,43.22,40.49,100.00,0
8.55,43.62,17.84,43.06,40.51,100.00,0
8.59,43.36,17.31,42.12,40.12,100.00,0
8.63,43.00,18.73,42.37,40.03,100.00,0
8.68,42.94,19.26,42.32,40.16,100.00,0
8.72,43.48,19.01,41.95,40.26,100.00,0
8.76,43.43,18.57,43.67,40.14,100.00,0
8.81,42.59,19.53,42.20,39.82,100.00,0
8.85,43.25,19.13,42.29,40.15,100.00,0
8.89,43.96,18.56,43.05,40.42,100.00,0
8.94,43.49,19.03,44.46,40.51,100.00,0
8.98,43.69,18.31,42.81,40.64,100.00,0
9.02,43.47,17.73,42.27,39.98,100.00,0
9.07,43.16,19.23,43.28,39.97,100.00,0
9.11,43.55,18.21,41.44,40.47,100.00,0
9.15,43.45,19.31,43.81,40.32,100.00,0
9.20,44.14,18.46,41.57,40.41,100.00,0
9.24,42.26,22.80,43.25,40.10,100.00,0
9.28,42.54,18.78,40.98,39.39,100.00,0
9.33,43.85,18.67,41.75,40.89,100.00,0
9.37,43.02,19.10,45.12,40.24,100.00,0
9.41,43.71,18.79,41.95,40.63,100.00,0
9.46,79.49,17.82,92.32,40.00,100.00,0
9.54,28.93,19.72,28.57,38.36,100.00,0
9.57,57.18,17.59,56.14,40.44,100.00,0
9.62,42.93,17.96,42.06,40.02,100.00,0
9.67,29.19,18.08,28.53,39.44,100.00,0
9.70,29.81,17.04,29.40,40.23,100.00,0
9.72,35.21,17.00,28.63,42.77,100.00,0
9.76,44.19,17.17,33.61,41.31,100.00,0
9.80,44.10,18.65,43.42,40.54,100.00,0
9.85,41.37,19.34,43.30,38.81,100.00,0
9.89,44.08,18.05,41.65,40.94,100.00,0
9.93,44.35,17.90,44.21,40.98,100.00,0
9.98,43.42,18.88,43.43,40.17,100.00,0
10.02,43.40,19.96,42.14,40.58,100.00,0
10.06,43.78,17.34,43.73,40.54,100.00,0
10.11,43.05,19.02,42.36,40.01,100.00,0
10.15,78.96,18.43,91.49,39.93,100.00,0
10.23,29.12,20.00,28.57,39.59,100.00,0
10.26,29.31,18.12,28.69,40.83,100.00,0
10.29,37.25,16.63,27.13,41.37,100.00,0
10.33,43.96,17.81,37.99,40.65,100.00,0
10.37,43.57,19.32,43.67,40.63,100.00,0
10.41,79.17,18.64,91.82,40.14,100.00,0
10.49,29.09,21.13,29.09,39.49,100.00,0
10.52,30.79,17.15,29.95,40.77,100.00,0
10.55,34.40,16.81,28.54,41.43,100.00,0
10.59,79.60,18.67,83.61,40.94,100.00,0
10.67,30.42,19.36,29.86,39.38,100.00,0
10.70,30.90,17.49,30.25,40.86,100.00,0
10.73,34.35,16.83,27.95,41.57,100.00,0
10.76,44.28,19.94,33.36,40.95,100.00,0
10.81,43.66,20.26,45.10,40.45,100.00,0
10.85,43.87,19.69,41.83,40.82,100.00,0
10.89,43.66,19.76,44.15,40.59,100.00,0
10.94,44.15,19.61,43.39,40.69,100.00,0
10.98,43.85,19.69,43.48,40.78,100.00,0
11.03,43.88,18.30,41.97,40.64,100.00,0
11.07,43.01,19.70,43.49,39.98,100.00,0
11.11,43.33,18.26,42.16,40.59,100.00,0
11.16,43.54,18.87,42.39,40.15,100.00,0
11.20,43.70,18.38,43.55,40.68,100.00,0
11.24,44.58,18.39,41.97,41.00,100.00,0
11.29,44.00,19.42,43.48,40.93,100.00,0
11.33,81.24,18.49,95.61,40.70,100.00,0
11.41,28.34,18.79,28.41,40.13,100.00,0
11.44,57.04,15.56,55.92,41.30,100.00,0
11.50,29.09,18.79,28.69,39.53,100.00,0
11.53,29.90,17.46,28.94,40.88,100.00,0
11.56,36.39,18.24,28.35,41.25,100.00,0
11.59,43.98,18.46,35.14,41.00,100.00,0
11.64,44.76,19.99,43.54,41.22,100.00,0
11.68,42.16,20.09,43.69,39.57,100.00,0
11.73,43.52,18.17,43.70,40.36,100.00,0
11.77,43.95,18.90,41.11,40.99,100.00,0
11.81,43.41,18.70,44.05,40.15,100.00,0
11.86,79.14,20.03,91.98,39.75,100.00,0
11.94,30.45,19.10,29.69,39.58,100.00,0
11.97,56.51,17.79,55.49,40.91,100.00,0
12.02,28.56,20.06,28.46,40.73,100.00,0
12.05,66.28,16.79,65.11,41.05,100.00,0
12.12,29.21,19.05,28.75,46.97,100.00,0
12.15,30.95,17.18,29.75,40.44,100.00,0
12.18,70.13,16.51,69.21,41.20,100.00,0
12.25,29.57,18.85,29.24,39.73,100.00,0
12.28,29.54,17.35,28.96,40.70,100.00,0
12.31,36.25,16.15,28.44,41.39,100.00,0
12.34,80.41,17.08,86.41,40.61,100.00,0
12.42,29.47,19.80,28.55,39.61,100.00,0
12.45,30.44,17.07,29.76,41.25,100.00,0
12.48,34.09,17.76,28.04,41.10,100.00,0
12.52,43.52,17.44,34.41,40.97,100.00,0
12.56,44.14,20.96,41.77,40.86,100.00,0
12.60,44.55,20.18,44.24,41.14,100.00,0
12.65,43.53,18.78,43.02,40.71,100.00,0
12.69,80.54,17.20,94.45,40.17,100.00,0
12.77,29.32,19.12,28.97,39.73,100.00,0
12.80,29.53,19.07,28.69,41.12,100.00,0
12.83,36.02,18.35,27.99,41.76,100.00,0
12.87,44.15,19.11,36.00,41.06,100.00,0
12.91,43.80,19.23,43.59,40.29,100.00,0
12.96,43.65,19.10,43.78,40.32,100.00,0
13.00,43.92,18.66,43.18,40.77,100.00,0
13.04,43.76,19.27,44.22,40.72,100.00,0
13.09,43.25,20.96,42.71,40.29,100.00,0
13.13,43.84,19.75,41.84,40.93,100.00,0
13.17,44.14,18.64,43.57,41.03,100.00,0
13.22,43.57,19.40,41.53,40.35,100.00,0
13.26,44.22,18.27,43.15,40.89,100.00,0
13.31,43.74,17.86,44.52,40.60,100.00,0
13.35,44.64,19.13,41.36,41.25,100.00,0
13.39,42.81,20.66,44.91,40.06,100.00,0
13.44,43.25,18.89,43.03,40.61,100.00,0
13.48,44.02,18.00,41.51,40.83,100.00,0
13.52,43.90,18.37,44.06,41.00,100.00,0
13.57,43.62,18.85,43.59,40.96,100.00,0
13.61,80.42,19.06,92.42,40.51,100.00,0
13.69,28.77,19.52,28.70,39.55,100.00,0
13.72,29.67,19.12,28.90,40.01,100.00,0
13.75,35.52,17.46,27.76,41.71,100.00,0
13.79,44.15,19.19,35.12,41.77,100.00,0
13.83,43.70,18.47,43.46,40.54,100.00,0
13.87,43.18,18.96,44.10,40.47,100.00,0
13.92,43.32,19.82,42.14,40.34,100.00,0
13.96,43.88,20.13,42.52,40.06,100.00,0
14.01,43.24,20.47,43.42,40.66,100.00,0
14.05,79.90,19.30,92.31,40.30,100.00,0
14.13,28.15,19.95,28.01,39.55,100.00,0
14.16,30.42,18.10,29.56,40.22,100.00,0
14.19,35.54,17.52,28.86,41.52,100.00,0
14.22,44.85,17.37,33.76,41.98,100.00,0
14.27,43.34,17.96,45.83,40.03,100.00,0
14.31,44.49,19.37,43.10,41.38,100.00,0
14.35,44.02,18.25,42.15,41.12,100.00,0
14.40,43.41,18.64,43.60,40.71,100.00,0
14.44,44.03,19.00,44.23,40.81,100.00,0
14.49,43.69,18.64,42.03,40.56,100.00,0
14.53,43.63,19.04,43.80,40.71,100.00,0
14.57,43.54,17.61,41.15,40.42,100.00,0
14.62,44.63,19.14,43.19,40.57,100.00,0
14.66,43.68,19.45,45.17,40.69,100.00,0
14.71,79.40,18.73,92.60,40.31,100.00,0
14.78,29.37,19.49,28.53,39.78,100.00,0
14.81,28.56,17.91,28.21,41.13,100.00,0
14.84,37.72,16.29,27.93,41.30,100.00,0
14.88,41.90,19.53,36.89,39.47,100.00,0
14.92,44.02,18.82,41.76,40.85,100.00,0
14.97,43.74,19.26,42.72,40.69,100.00,0
15.01,44.00,19.46,43.32,41.02,100.00,0
15.05,44.18,19.33,43.68,41.08,100.00,0
15.10,43.49,19.44,42.63,40.43,100.00,0
15.14,43.94,20.07,43.82,40.49,100.00,0
15.19,43.63,18.72,43.55,40.81,100.00,0
15.23,43.92,18.52,42.77,40.94,100.00,0
15.27,44.51,19.71,42.56,40.70,100.00,0
15.32,43.80,19.29,43.34,40.24,100.00,0
15.36,44.23,18.32,43.68,41.01,100.00,0
15.41,43.49,18.49,45.26,40.67,100.00,0
15.45,44.12,19.49,40.03,40.53,100.00,0
15.49,43.13,20.13,43.47,40.14,100.00,0
15.54,44.16,18.50,43.01,41.10,100.00,0
15.58,44.13,21.80,46.69,40.74,100.00,0
15.63,45.50,21.34,41.62,42.50,100.00,0
15.67,44.40,21.69,46.98,41.42,100.00,0
15.71,80.40,19.71,91.10,40.65,100.00,0
15.80,36.59,22.43,35.89,41.32,100.00,0
15.83,33.00,24.22,32.58,41.69,100.00,0
15.86,30.60,20.07,29.81,42.58,100.00,0
15.90,43.31,20.72,30.70,42.65,100.00,0
15.94,43.08,18.11,38.63,41.05,100.00,0
15.98,44.71,13.76,38.13,41.94,100.00,0
16.03,81.85,16.98,102.81,41.27,100.00,0
16.11,30.08,19.92,29.46,39.62,100.00,0
16.14,30.46,17.78,29.51,41.66,100.00,0
16.17,69.72,17.77,68.58,40.90,100.00,0
16.24,28.48,19.41,28.42,40.10,100.00,0
16.27,58.76,16.53,57.46,41.23,100.00,0
16.33,30.91,19.00,30.12,40.26,100.00,0
16.36,29.99,17.02,29.97,41.38,100.00,0
