Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
51.49,23.50,8.51,22.69,20.71,100.00,0
51.51,25.98,8.17,25.17,20.64,100.00,0
51.54,20.78,8.55,20.40,20.73,100.00,0
51.56,25.92,7.47,24.97,20.89,100.00,0
51.58,25.09,10.29,24.57,20.66,100.00,0
51.61,23.07,9.34,22.39,20.62,100.00,0
51.63,23.91,8.85,23.20,20.80,100.00,0
51.65,25.18,8.34,24.33,20.57,100.00,0
51.68,23.95,8.03,23.36,20.71,100.00,0
51.70,22.45,7.85,21.71,20.36,100.00,0
51.73,25.92,8.08,25.31,20.78,100.00,0
51.75,22.92,7.75,22.21,20.03,100.00,0
51.78,23.69,8.12,22.93,20.37,100.00,0
51.80,23.57,8.86,22.98,20.72,100.00,0
51.82,24.57,8.96,23.65,20.82,100.00,0
51.85,23.42,9.73,22.89,20.64,100.00,0
51.87,25.85,11.64,25.10,20.39,100.00,0
51.90,22.49,8.86,21.97,20.26,100.00,0
51.92,22.67,9.47,22.38,20.56,100.00,0
51.94,25.83,7.94,25.01,20.67,100.00,0
51.97,24.42,9.32,23.79,20.20,100.00,0
51.99,21.47,9.28,21.23,20.61,100.00,0
52.01,24.18,6.92,23.20,20.40,100.00,0
52.04,25.30,8.03,24.57,20.59,100.00,0
52.06,22.93,8.56,22.39,20.53,100.00,0
52.09,31.30,7.04,30.26,29.12,100.00,0
52.12,24.56,8.02,24.01,19.21,100.00,0
52.14,22.89,8.61,22.12,19.39,100.00,0
52.16,24.49,7.81,23.78,20.01,100.00,0
52.19,24.05,8.40,23.35,19.75,100.00,0
52.21,23.05,8.94,22.33,20.01,100.00,0
52.24,25.53,8.12,24.87,20.50,100.00,0
52.26,19.25,8.70,19.06,20.53,100.00,0
52.28,28.08,6.98,27.16,21.96,100.00,0
52.31,24.55,7.77,23.96,20.21,100.00,0
52.33,26.47,8.40,24.75,20.54,100.00,0
52.36,22.30,10.12,22.76,20.54,100.00,0
52.38,21.75,8.45,21.12,20.51,100.00,0
52.40,26.10,8.70,25.35,20.62,100.00,0
52.43,22.92,8.52,22.20,20.50,100.00,0
52.45,25.09,8.24,24.45,20.83,100.00,0
52.48,23.53,8.03,22.75,20.61,100.00,0
52.50,23.63,9.22,23.03,20.53,100.00,0
52.53,25.30,8.77,24.66,20.64,100.00,0
52.55,23.23,8.11,22.97,20.64,100.00,0
52.57,25.30,8.56,24.80,20.21,100.00,0
52.60,23.60,8.44,22.87,20.67,100.00,0
52.62,23.83,8.21,23.08,20.44,100.00,0
52.65,24.39,8.94,23.86,19.99,100.00,0
52.67,23.28,8.17,22.59,20.47,100.00,0
52.69,25.46,8.26,24.83,20.65,100.00,0
52.72,22.45,9.05,21.68,20.60,100.00,0
52.74,25.42,8.97,24.75,20.58,100.00,0
52.77,23.35,8.76,22.57,20.58,100.00,0
52.79,24.37,8.04,23.91,20.61,100.00,0
52.82,21.85,8.48,21.48,20.09,100.00,0
52.84,26.57,6.92,25.50,21.46,100.00,0
52.86,26.13,8.59,25.52,19.96,100.00,0
52.89,22.64,8.57,21.72,20.39,100.00,0
52.91,25.71,11.49,25.14,20.86,100.00,0
52.94,20.47,8.78,19.83,19.83,100.00,0
52.96,27.49,10.31,26.77,20.27,100.00,0
52.99,23.39,9.38,22.40,18.97,100.00,0
53.01,22.91,11.74,22.47,19.33,100.00,0
53.03,22.64,8.60,21.89,19.24,100.00,0
53.05,20.74,9.22,20.50,19.10,100.00,0
53.08,23.26,7.46,22.26,19.57,100.00,0
53.10,24.19,10.31,23.75,19.33,100.00,0
53.12,21.06,7.86,20.22,19.40,100.00,0
53.14,23.96,8.24,23.15,19.15,100.00,0
53.17,24.61,8.33,24.27,19.89,100.00,0
53.19,23.59,7.99,22.53,20.42,100.00,0
53.22,23.76,8.61,23.44,20.65,100.00,0
53.24,22.22,8.02,21.45,20.41,100.00,0
53.26,25.64,9.83,25.04,20.60,100.00,0
53.29,24.15,8.91,23.46,20.58,100.00,0
53.31,23.11,8.32,22.40,20.93,100.00,0
53.34,24.96,10.87,24.28,20.71,100.00,0
53.36,24.51,8.92,23.76,20.84,100.00,0
53.38,24.27,8.69,23.53,20.67,100.00,0
53.41,23.54,8.01,22.62,20.38,100.00,0
53.43,23.74,9.30,23.15,20.33,100.00,0
53.46,25.17,8.15,24.36,20.63,100.00,0
53.48,24.50,8.18,23.81,20.21,100.00,0
53.51,25.10,8.59,24.62,20.39,100.00,0
53.53,23.97,8.34,23.21,20.40,100.00,0
53.55,22.68,8.19,21.84,19.76,100.00,0
53.58,25.35,8.09,24.85,21.63,100.00,0
53.60,24.86,10.88,24.12,20.32,100.00,0
53.63,22.64,9.91,21.94,20.31,100.00,0
53.65,27.73,8.60,27.07,21.66,100.00,0
53.68,23.56,8.21,22.84,20.33,100.00,0
53.70,23.17,9.76,22.70,20.56,100.00,0
53.72,25.38,8.25,24.59,19.83,100.00,0
53.75,22.15,8.44,21.66,19.19,100.00,0
53.77,20.86,7.64,20.22,19.57,100.00,0
53.79,21.72,7.44,21.24,19.65,100.00,0
53.81,23.96,7.62,23.02,19.55,100.00,0
53.84,26.18,7.97,25.61,19.42,100.00,0
53.87,21.90,9.36,21.83,19.28,100.00,0
53.89,25.53,8.66,24.90,20.23,100.00,0
53.91,24.36,8.19,23.52,19.47,100.00,0
53.94,21.73,8.89,21.28,19.43,100.00,0
53.96,25.01,7.49,24.43,20.66,100.00,0
53.98,20.88,7.73,20.46,19.22,100.00,0
54.00,21.00,7.25,20.61,19.18,100.00,0
