Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,98.30,17.10,97.64,95.36,100.00,0
50,99.54,17.63,98.99,96.71,100.00,0
75,100.92,18.18,100.36,98.01,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,97.75,17.35,96.92,94.66,100.00,0
0.10,97.11,18.14,96.54,92.07,100.00,0
0.19,97.14,17.27,96.11,95.89,100.00,0
0.29,97.31,17.77,96.84,92.79,100.00,0
0.39,97.78,19.31,96.82,94.85,100.00,0
0.49,94.50,18.48,93.92,92.14,100.00,0
0.58,95.85,16.93,95.04,93.98,100.00,0
0.68,97.60,16.99,96.75,93.25,100.00,0
0.78,97.54,17.33,96.80,93.67,100.00,0
0.87,95.66,18.42,95.13,92.88,100.00,0
0.97,99.39,17.45,98.51,95.57,100.00,0
1.07,97.20,17.30,96.58,94.94,100.00,0
1.16,97.15,18.02,96.24,94.47,100.00,0
1.26,99.02,19.12,98.59,94.74,100.00,0
1.36,98.83,17.55,98.03,97.13,100.00,0
1.46,97.27,16.80,96.52,94.55,100.00,0
1.56,96.41,17.97,95.86,92.07,100.00,0
1.65,99.61,17.74,99.03,96.37,100.00,0
1.75,95.99,17.97,95.14,92.90,100.00,0
1.85,98.22,19.26,97.45,96.11,100.00,0
1.95,96.27,17.83,95.75,92.21,100.00,0
2.04,97.20,17.57,96.23,93.83,100.00,0
2.14,97.34,17.68,96.91,93.89,100.00,0
2.24,96.27,17.50,95.41,95.10,100.00,0
2.33,97.17,17.22,96.48,94.25,100.00,0
2.43,99.95,17.93,99.46,94.74,100.00,0
2.53,97.17,17.04,96.43,94.37,100.00,0
2.63,97.87,17.24,97.08,95.22,100.00,0
2.73,98.72,18.38,97.59,95.08,100.00,0
2.83,96.06,18.08,95.80,94.55,100.00,0
2.92,100.38,17.32,99.81,95.04,100.00,0
3.02,103.45,17.41,102.77,102.19,100.00,0
3.13,96.72,17.48,96.06,92.76,100.00,0
3.22,97.69,16.76,97.12,95.19,100.00,0
3.32,100.32,18.22,99.57,96.14,100.00,0
3.42,99.40,17.97,98.79,96.02,100.00,0
3.52,97.37,17.09,96.66,95.51,100.00,0
3.62,96.95,16.79,96.06,93.27,100.00,0
3.71,99.31,17.64,98.60,96.81,100.00,0
3.81,97.34,18.06,96.87,92.99,100.00,0
3.91,97.96,17.05,97.06,95.13,100.00,0
4.01,95.32,17.37,94.68,92.64,100.00,0
4.10,98.33,17.51,97.71,95.25,100.00,0
4.20,97.43,16.52,96.70,92.79,100.00,0
4.30,97.33,17.12,96.81,95.80,100.00,0
4.40,96.50,17.99,96.08,92.40,100.00,0
4.49,99.65,18.37,99.10,95.70,100.00,0
4.59,96.58,18.28,95.86,94.48,100.00,0
4.69,97.59,17.22,96.81,95.41,100.00,0
4.79,98.15,17.21,97.51,94.21,100.00,0
4.89,96.94,16.67,96.36,93.41,100.00,0
4.98,100.64,17.01,100.58,95.44,100.00,0
5.08,97.15,19.07,96.39,95.45,100.00,0
5.18,100.01,17.89,99.41,94.76,100.00,0
5.28,96.13,22.37,95.84,96.14,100.00,0
5.38,108.27,17.81,106.93,97.60,100.00,0
5.48,93.53,14.65,93.02,97.59,100.00,0
5.58,98.15,16.70,97.62,95.26,100.00,0
5.68,98.74,18.43,97.91,95.25,100.00,0
5.77,97.50,19.00,96.96,95.41,100.00,0
5.87,97.42,17.77,96.76,93.29,100.00,0
5.97,98.25,17.06,97.36,96.50,100.00,0
6.07,97.54,17.04,96.84,93.52,100.00,0
6.17,98.62,16.59,97.71,96.32,100.00,0
6.26,97.27,16.23,96.89,93.27,100.00,0
6.36,98.24,17.87,97.61,95.82,100.00,0
6.46,96.19,17.96,94.78,93.14,100.00,0
6.56,97.62,17.81,97.60,95.74,100.00,0
6.65,98.09,18.30,97.38,93.73,100.00,0
6.75,99.07,18.12,98.39,95.72,100.00,0
6.85,97.64,17.47,96.96,94.03,100.00,0
6.95,98.86,17.99,98.12,96.10,100.00,0
7.05,98.49,16.91,97.93,95.68,100.00,0
