Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,8.00,3.79,7.70,4.65,100.00,0
50,8.29,3.93,7.99,4.76,100.00,0
75,8.61,4.09,8.28,4.82,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,8.35,4.33,8.11,4.83,100.00,0
0.01,8.53,3.92,8.15,4.82,100.00,0
0.02,8.55,4.40,8.04,4.53,100.00,0
0.03,8.02,4.16,7.97,4.78,100.00,0
0.03,8.19,4.00,7.84,4.42,100.00,0
0.04,8.47,4.08,8.12,4.36,100.00,0
0.05,8.59,4.16,8.29,4.40,100.00,0
0.06,8.37,3.76,8.20,4.41,100.00,0
0.07,8.02,3.92,7.66,4.48,100.00,0
0.08,8.06,4.12,7.86,4.41,100.00,0
0.08,8.66,3.91,8.32,4.72,100.00,0
0.09,8.32,4.04,7.93,4.80,100.00,0
0.10,8.84,4.07,8.45,4.77,100.00,0
0.11,8.53,3.92,8.28,4.58,100.00,0
0.12,8.99,4.00,8.42,4.76,100.00,0
0.13,9.15,4.60,9.17,4.76,100.00,0
0.14,9.33,4.27,9.10,4.77,100.00,0
0.14,8.29,4.23,8.09,4.91,100.00,0
0.15,8.61,4.02,8.32,4.80,100.00,0
0.16,8.82,4.31,8.36,4.78,100.00,0
0.17,8.10,4.92,8.00,4.78,100.00,0
0.18,8.90,4.01,8.40,4.76,100.00,0
0.19,8.18,4.50,7.97,4.76,100.00,0
0.20,8.01,4.38,7.95,4.49,100.00,0
0.20,8.17,4.16,7.67,4.70,100.00,0
0.21,7.84,4.25,7.61,4.82,100.00,0
0.22,8.52,4.37,7.87,4.76,100.00,0
0.23,8.39,4.34,8.32,4.75,100.00,0
0.24,8.30,4.32,7.70,4.77,100.00,0
0.25,7.85,3.80,7.34,4.76,100.00,0
0.25,7.82,4.28,7.65,4.78,100.00,0
0.26,8.07,4.03,7.79,4.85,100.00,0
0.27,8.24,4.14,7.94,4.59,100.00,0
0.28,7.94,4.30,7.78,4.59,100.00,0
0.29,8.31,3.78,7.80,4.71,100.00,0
0.29,7.86,4.54,7.74,4.77,100.00,0
0.30,8.07,4.13,7.80,4.75,100.00,0
0.31,8.72,4.12,8.43,4.78,100.00,0
