Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,92.53,17.16,92.03,89.26,100.00,0
50,93.26,17.54,92.75,89.85,100.00,0
75,94.10,17.96,93.51,90.54,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,135.82,19.01,135.02,132.45,100.00,0
0.14,136.07,18.24,136.31,133.57,100.00,0
0.27,135.87,17.21,135.27,132.80,100.00,0
0.41,137.67,18.51,137.06,134.37,100.00,0
0.55,137.56,18.82,137.24,133.22,100.00,0
0.68,137.57,18.30,137.10,133.28,100.00,0
0.82,132.65,18.37,132.85,133.36,100.00,0
0.95,136.73,15.09,136.04,133.13,100.00,0
1.09,136.61,15.40,136.56,135.09,100.00,0
1.23,136.37,11.55,135.76,133.32,100.00,0
1.36,135.23,13.56,134.94,133.30,100.00,0
1.50,140.28,12.34,139.67,133.85,100.00,0
1.64,134.19,13.95,134.09,134.03,100.00,0
1.77,143.09,12.85,142.77,134.80,100.00,0
1.92,133.60,13.31,133.28,133.77,100.00,0
2.05,136.72,14.17,136.45,134.47,100.00,0
2.19,135.84,12.11,135.59,134.06,100.00,0
2.32,137.39,14.73,137.50,134.54,100.00,0
2.46,129.51,14.53,128.04,135.23,100.00,0
2.59,82.28,18.32,82.14,79.15,100.00,0
2.67,86.02,16.43,85.74,80.93,100.00,0
2.76,93.75,17.11,93.03,88.46,100.00,0
2.85,94.92,17.31,94.32,90.46,100.00,0
2.95,94.77,17.69,94.25,90.32,100.00,0
3.04,92.94,17.59,92.43,89.85,100.00,0
3.13,93.99,18.14,93.70,91.68,100.00,0
3.23,94.06,17.08,93.47,90.40,100.00,0
3.32,106.10,17.13,93.24,90.39,100.00,0
3.43,81.59,29.40,93.39,90.41,100.00,0
3.51,93.45,17.02,93.10,90.09,100.00,0
3.60,94.33,17.91,93.31,90.45,100.00,0
3.70,92.21,17.27,92.38,89.14,100.00,0
3.79,94.37,17.00,93.76,90.70,100.00,0
3.88,94.74,17.23,93.29,90.11,100.00,0
3.98,91.46,18.28,91.65,89.62,100.00,0
4.07,91.67,17.51,91.31,88.52,100.00,0
4.16,94.69,17.15,94.04,90.42,100.00,0
4.26,91.93,17.79,91.29,89.61,100.00,0
4.35,92.18,17.07,91.51,89.07,100.00,0
4.44,92.71,17.11,92.50,89.62,100.00,0
4.53,93.54,17.23,93.23,90.07,100.00,0
4.63,92.58,16.85,91.85,88.88,100.00,0
4.72,93.58,17.70,92.60,89.76,100.00,0
4.81,94.41,18.44,94.35,91.57,100.00,0
4.91,92.35,17.12,91.77,89.88,100.00,0
5.00,94.16,17.08,93.57,89.85,100.00,0
5.09,93.00,17.83,92.80,89.77,100.00,0
5.19,93.43,17.53,93.04,90.05,100.00,0
5.28,92.39,17.90,91.79,89.48,100.00,0
5.37,92.82,17.24,92.02,89.03,100.00,0
5.47,92.50,16.93,92.14,88.78,100.00,0
5.56,92.40,17.82,91.69,89.43,100.00,0
5.65,92.74,16.94,92.08,89.17,100.00,0
5.74,91.56,17.96,91.33,89.70,100.00,0
5.83,94.15,17.36,93.79,90.67,100.00,0
5.93,92.01,17.80,91.41,88.44,100.00,0
6.02,93.81,17.09,93.41,89.88,100.00,0
6.11,91.84,17.61,91.15,89.29,100.00,0
6.21,94.69,17.74,93.30,91.02,100.00,0
6.30,91.85,18.19,92.36,89.35,100.00,0
6.39,92.39,17.15,91.63,89.36,100.00,0
6.49,95.92,17.49,95.26,90.59,100.00,0
6.58,92.76,18.15,92.62,91.00,100.00,0
6.67,92.83,17.14,92.41,88.85,100.00,0
6.77,93.46,17.28,92.22,88.73,100.00,0
6.86,97.57,18.20,97.71,95.30,100.00,0
6.96,94.33,17.81,93.45,89.10,100.00,0
7.05,92.95,17.59,92.74,89.07,100.00,0
7.14,93.72,17.87,93.11,89.19,100.00,0
7.24,95.47,17.79,94.76,90.42,100.00,0
7.33,92.19,17.44,92.13,89.16,100.00,0
7.43,91.73,17.28,91.13,89.60,100.00,0
7.52,92.79,17.16,92.13,89.48,100.00,0
7.61,92.16,17.10,91.73,89.18,100.00,0
7.70,92.48,16.93,92.04,88.74,100.00,0
7.80,92.70,17.41,92.28,89.19,100.00,0
7.89,94.03,17.05,93.27,90.69,100.00,0
7.98,91.21,17.89,90.60,88.05,100.00,0
8.07,92.43,16.79,91.89,88.56,100.00,0
8.17,92.19,17.23,91.55,88.93,100.00,0
8.26,93.51,17.31,93.03,89.81,100.00,0
8.35,92.45,17.26,92.05,89.15,100.00,0
8.44,91.52,17.16,90.85,87.87,100.00,0
8.54,93.62,17.31,92.74,89.30,100.00,0
8.63,92.31,18.53,92.39,89.73,100.00,0
8.72,92.41,17.68,92.00,89.10,100.00,0
8.81,93.05,16.92,92.69,88.76,100.00,0
8.91,94.75,17.51,94.15,91.21,100.00,0
9.00,93.24,17.12,92.26,89.49,100.00,0
9.09,91.82,17.79,91.75,89.18,100.00,0
9.19,93.11,18.01,92.24,89.37,100.00,0
9.28,92.82,17.90,92.40,89.77,100.00,0
9.37,91.02,18.19,90.99,88.63,100.00,0
9.46,91.22,17.68,90.79,88.56,100.00,0
9.55,92.88,17.85,92.39,90.07,100.00,0
9.65,92.48,17.66,91.68,87.66,100.00,0
9.74,92.13,17.42,91.75,87.96,100.00,0
9.83,91.87,17.78,91.03,88.79,100.00,0
9.92,92.51,17.67,92.23,89.43,100.00,0
10.02,92.55,17.91,91.97,88.96,100.00,0
10.11,94.43,17.93,94.00,89.65,100.00,0
10.20,93.14,17.22,92.79,90.25,100.00,0
10.30,92.70,17.51,92.03,90.64,100.00,0
10.39,92.43,17.78,91.72,89.02,100.00,0
