Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,22.71,8.23,22.15,19.04,100.00,0
50,23.91,8.67,23.27,19.68,100.00,0
75,25.13,9.05,24.50,20.06,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,23.50,7.99,22.58,0.00,100.00,0
0.02,26.33,9.60,25.69,20.07,100.00,0
0.05,23.87,9.15,23.01,19.64,100.00,0
0.07,25.11,9.60,24.70,20.93,100.00,0
0.10,23.10,9.72,22.23,19.17,100.00,0
0.12,27.08,8.48,26.27,19.04,100.00,0
0.15,23.12,8.65,22.74,19.04,100.00,0
0.17,24.88,9.02,24.28,18.12,100.00,0
0.20,19.12,8.34,18.75,18.12,100.00,0
0.22,27.12,6.65,25.99,20.66,100.00,0
0.24,24.74,8.43,24.76,19.67,100.00,0
0.27,22.98,8.82,22.16,19.32,100.00,0
0.29,24.90,11.06,23.75,19.00,100.00,0
0.32,19.50,9.67,19.69,19.00,100.00,0
0.34,26.47,8.02,25.53,19.95,100.00,0
0.36,24.31,10.43,24.02,18.09,100.00,0
0.39,20.91,8.32,20.00,18.59,100.00,0
0.41,23.47,8.04,23.13,18.87,100.00,0
0.43,24.71,7.64,23.82,19.84,100.00,0
0.46,23.12,8.17,22.70,19.72,100.00,0
0.48,25.25,8.36,23.12,19.49,100.00,0
0.50,22.02,10.57,22.58,19.09,100.00,0
0.53,23.85,8.70,23.14,19.42,100.00,0
0.55,24.00,9.49,23.92,19.47,100.00,0
0.57,22.46,9.87,21.68,18.47,100.00,0
0.60,24.79,8.26,24.13,19.34,100.00,0
0.62,22.72,8.91,21.66,19.04,100.00,0
0.64,25.05,8.83,25.42,19.93,100.00,0
0.67,25.63,8.92,24.84,20.18,100.00,0
0.69,24.64,8.51,23.64,19.79,100.00,0
0.72,24.62,8.43,23.88,20.14,100.00,0
0.74,24.14,9.05,23.57,19.59,100.00,0
0.77,25.66,8.50,23.45,18.16,100.00,0
0.79,20.63,9.62,21.68,18.16,100.00,0
0.81,23.02,8.25,22.95,18.44,100.00,0
0.84,25.04,9.21,24.34,18.69,100.00,0
0.86,23.84,9.16,23.01,19.96,100.00,0
0.89,24.28,8.73,23.49,19.69,100.00,0
0.91,23.22,10.42,22.83,20.01,100.00,0
0.93,23.51,8.40,22.66,19.23,100.00,0
0.96,25.24,8.60,24.42,18.13,100.00,0
0.98,22.47,8.60,21.91,18.13,100.00,0
1.00,24.63,8.39,24.00,19.63,100.00,0
1.03,24.30,8.65,23.99,18.78,100.00,0
1.05,24.43,9.92,23.69,19.61,100.00,0
1.08,24.98,8.38,24.82,19.70,100.00,0
1.10,23.06,8.67,22.29,19.59,100.00,0
1.13,25.65,8.94,24.95,19.60,100.00,0
1.15,23.97,8.41,23.41,19.35,100.00,0
1.18,22.18,8.60,22.23,19.13,100.00,0
1.20,25.34,7.27,22.44,18.16,100.00,0
1.22,19.98,10.18,21.18,18.16,100.00,0
1.24,24.88,8.22,24.29,19.71,100.00,0
1.27,23.44,8.21,22.79,19.62,100.00,0
1.29,23.63,8.85,22.84,19.07,100.00,0
1.31,25.19,8.45,24.66,19.60,100.00,0
1.34,24.94,9.10,24.19,19.80,100.00,0
1.37,28.39,9.23,27.61,18.12,100.00,0
1.39,21.21,8.99,20.53,18.12,100.00,0
1.41,26.09,10.66,25.30,19.30,100.00,0
1.44,21.59,9.25,20.99,18.86,100.00,0
1.46,26.11,8.80,25.70,20.66,100.00,0
1.49,24.07,8.53,23.34,19.44,100.00,0
1.51,22.40,8.84,21.69,19.17,100.00,0
1.53,25.29,8.65,24.45,19.43,100.00,0
1.56,23.64,8.92,23.14,19.67,100.00,0
1.58,22.80,8.63,22.09,19.26,100.00,0
1.61,25.61,8.69,25.11,18.37,100.00,0
1.63,18.25,8.22,17.94,18.37,100.00,0
1.65,28.66,6.94,27.52,21.21,100.00,0
1.68,26.45,9.56,26.49,18.04,100.00,0
1.71,23.87,10.02,21.89,18.04,100.00,0
1.73,23.77,8.62,22.97,19.08,100.00,0
1.75,23.82,9.10,23.37,19.58,100.00,0
1.78,22.69,8.54,21.88,19.31,100.00,0
1.80,25.32,8.57,24.58,18.14,100.00,0
1.83,19.98,8.40,19.47,18.14,100.00,0
1.85,27.42,8.14,26.82,20.30,100.00,0
1.87,22.93,8.31,22.18,19.19,100.00,0
1.90,25.62,8.72,24.86,19.28,100.00,0
1.92,22.68,8.66,22.03,19.28,100.00,0
1.94,26.76,8.57,24.05,18.00,100.00,0
1.97,20.42,10.39,21.87,18.00,100.00,0
1.99,26.90,8.41,25.83,19.51,100.00,0
2.02,22.27,8.42,21.68,18.48,100.00,0
2.04,23.38,8.58,22.59,18.67,100.00,0
2.06,24.91,8.80,24.15,19.96,100.00,0
2.09,22.88,9.91,22.34,19.55,100.00,0
2.11,23.13,8.63,22.82,19.94,100.00,0
2.13,21.19,7.66,20.39,19.51,100.00,0
2.16,23.71,9.38,23.29,19.96,100.00,0
2.18,23.65,8.64,23.37,19.57,100.00,0
2.20,23.04,8.42,22.32,19.12,100.00,0
2.23,22.39,8.23,22.80,19.63,100.00,0
2.25,22.28,7.63,21.17,18.64,100.00,0
2.27,24.85,8.21,24.16,19.94,100.00,0
2.30,23.48,8.49,22.71,19.64,100.00,0
2.32,22.39,8.96,21.97,19.42,100.00,0
2.34,28.11,8.07,27.29,21.25,100.00,0
2.37,26.14,8.26,24.18,17.95,100.00,0
2.40,20.32,9.35,21.86,17.95,100.00,0
2.42,23.85,7.67,22.46,19.76,100.00,0
2.44,22.33,9.07,22.30,18.42,100.00,0
2.46,25.71,8.67,24.78,19.89,100.00,0
2.49,21.96,9.03,21.48,19.68,100.00,0
2.51,26.34,8.30,25.50,20.95,100.00,0
2.54,22.55,8.70,22.11,19.19,100.00,0
2.56,24.07,8.37,23.23,19.46,100.00,0
2.58,25.48,8.90,24.54,18.19,100.00,0
2.61,21.62,8.91,21.11,18.19,100.00,0
2.63,25.91,9.15,25.28,18.13,100.00,0
2.66,21.14,9.29,20.67,18.13,100.00,0
2.68,26.36,7.90,25.74,20.64,100.00,0
2.70,24.97,8.24,24.40,19.36,100.00,0
2.73,23.70,8.64,22.69,19.37,100.00,0
2.75,24.35,10.48,24.07,19.69,100.00,0
2.78,20.63,8.31,19.78,19.51,100.00,0
2.80,24.45,8.43,24.14,19.81,100.00,0
2.82,30.79,7.94,29.96,17.53,100.00,0
2.85,22.13,8.21,21.41,17.53,100.00,0
2.87,26.89,8.43,25.84,19.22,100.00,0
2.90,20.87,9.22,21.04,19.22,100.00,0
2.92,26.71,8.40,26.14,20.48,100.00,0
2.95,21.84,8.37,21.20,19.25,100.00,0
2.97,25.31,8.72,24.50,19.78,100.00,0
3.00,23.85,9.53,23.22,19.61,100.00,0
3.02,27.67,8.77,27.12,18.13,100.00,0
3.05,21.98,8.80,21.86,18.13,100.00,0
3.07,26.48,10.09,25.81,21.03,100.00,0
3.10,22.58,8.89,21.86,19.39,100.00,0
3.12,24.48,9.23,24.67,19.90,100.00,0
3.14,24.06,8.39,23.12,19.33,100.00,0
3.17,23.61,8.95,22.80,19.45,100.00,0
3.19,24.33,8.57,23.59,19.50,100.00,0
3.21,22.12,8.66,21.57,18.81,100.00,0
3.24,24.45,8.81,23.92,19.34,100.00,0
3.26,22.10,8.67,21.37,18.20,100.00,0
3.28,25.82,7.96,25.42,20.97,100.00,0
3.31,25.14,8.53,24.00,19.55,100.00,0
3.33,22.85,9.36,22.28,19.23,100.00,0
3.36,26.24,8.55,25.69,20.53,100.00,0
3.38,24.64,8.91,23.94,19.40,100.00,0
3.41,24.07,9.73,23.37,19.50,100.00,0
3.43,22.22,8.61,21.73,18.27,100.00,0
3.45,23.55,9.05,22.62,18.16,100.00,0
3.48,24.62,8.90,24.02,19.15,100.00,0
3.50,20.63,8.81,20.16,19.51,100.00,0
3.52,23.50,7.71,22.68,19.99,100.00,0
3.55,24.29,8.55,23.72,19.67,100.00,0
3.57,24.69,8.34,24.44,19.75,100.00,0
3.60,22.60,8.81,21.97,19.22,100.00,0
3.62,26.12,8.65,25.56,17.91,100.00,0
3.64,22.89,8.31,22.41,17.91,100.00,0
3.67,24.54,7.75,23.42,19.08,100.00,0
3.69,24.55,8.61,24.12,19.39,100.00,0
3.72,23.29,8.88,22.37,19.64,100.00,0
3.74,24.06,8.86,23.61,19.38,100.00,0
3.76,21.63,8.24,21.05,19.47,100.00,0
3.79,24.31,7.99,23.94,19.80,100.00,0
3.81,24.18,7.90,23.28,19.42,100.00,0
3.83,23.71,8.71,23.02,19.36,100.00,0
3.86,22.67,9.45,21.80,17.94,100.00,0
3.88,23.46,8.65,23.10,18.35,100.00,0
3.90,24.24,8.46,23.26,19.64,100.00,0
3.93,24.23,8.82,23.76,19.87,100.00,0
3.95,22.85,9.00,22.15,19.20,100.00,0
3.98,25.47,8.54,23.78,18.25,100.00,0
4.00,23.10,9.84,23.54,18.25,100.00,0
4.02,25.01,10.33,24.88,21.24,100.00,0
4.05,25.39,9.45,24.77,18.07,100.00,0
4.07,19.30,8.49,18.82,18.07,100.00,0
4.09,27.10,7.95,26.40,19.53,100.00,0
4.12,22.14,8.21,21.37,19.38,100.00,0
4.14,25.33,8.88,24.63,19.51,100.00,0
4.17,23.98,9.47,23.47,19.57,100.00,0
4.19,25.75,10.62,25.20,20.87,100.00,0
4.22,21.37,8.98,20.55,19.38,100.00,0
4.24,26.69,8.22,26.42,21.03,100.00,0
4.27,17.26,7.74,16.91,18.26,100.00,0
4.28,28.81,6.93,27.06,19.64,100.00,0
4.31,22.27,8.75,22.44,18.98,100.00,0
4.33,24.97,9.06,24.30,20.25,100.00,0
4.36,25.65,8.73,24.88,20.07,100.00,0
4.38,22.43,9.43,21.87,19.59,100.00,0
4.41,24.18,8.97,23.26,19.86,100.00,0
4.43,22.86,9.39,22.27,18.21,100.00,0
4.45,21.34,8.60,20.61,18.44,100.00,0
4.48,21.80,9.44,21.88,18.60,100.00,0
4.50,22.91,8.21,22.25,18.71,100.00,0
4.52,24.91,8.02,24.34,19.86,100.00,0
4.55,24.37,8.69,23.43,19.78,100.00,0
4.57,24.46,9.40,23.68,19.62,100.00,0
4.59,23.61,9.09,23.18,19.89,100.00,0
4.62,23.53,9.36,23.08,19.62,100.00,0
4.64,20.08,7.85,19.71,19.80,100.00,0
4.66,25.14,7.25,24.22,20.06,100.00,0
4.69,24.79,7.68,23.97,18.68,100.00,0
4.71,23.00,8.41,22.75,18.59,100.00,0
4.73,25.95,9.22,25.71,21.42,100.00,0
4.76,24.06,8.54,23.42,19.52,100.00,0
4.78,24.00,9.68,22.94,19.79,100.00,0
4.81,24.14,8.86,23.56,19.62,100.00,0
4.83,22.77,8.57,22.85,19.35,100.00,0
4.86,25.16,11.22,24.33,18.95,100.00,0
4.88,18.78,9.48,18.71,18.95,100.00,0
4.90,25.72,7.35,25.03,19.25,100.00,0
4.92,22.30,8.45,21.82,18.64,100.00,0
4.95,23.61,7.76,23.12,21.45,100.00,0
4.97,21.26,6.84,20.80,19.68,100.00,0
4.99,22.34,7.01,21.83,19.18,100.00,0
5.01,26.34,7.63,26.26,19.05,100.00,0
5.04,25.41,11.68,24.56,19.36,100.00,0
5.07,24.23,9.53,23.64,20.29,100.00,0
5.09,21.83,8.95,20.92,18.45,100.00,0
5.11,25.36,10.40,24.97,19.79,100.00,0
5.14,23.18,8.69,22.35,19.40,100.00,0
5.16,25.15,8.93,24.63,20.01,100.00,0
5.19,24.00,8.53,23.30,19.25,100.00,0
5.21,24.18,8.34,23.34,19.62,100.00,0
5.23,24.27,8.60,23.71,19.44,100.00,0
5.26,25.25,8.79,24.67,20.43,100.00,0
5.28,23.44,8.58,22.77,18.74,100.00,0
5.31,23.61,8.51,22.85,18.18,100.00,0
5.33,23.11,9.04,22.64,20.07,100.00,0
5.35,27.19,8.38,26.25,20.04,100.00,0
5.38,24.06,8.98,23.34,19.62,100.00,0
5.40,24.06,9.02,23.52,19.76,100.00,0
5.43,23.35,9.68,22.64,19.33,100.00,0
5.45,24.01,8.78,23.40,19.84,100.00,0
5.48,23.13,8.56,23.07,19.18,100.00,0
5.50,24.75,8.83,23.99,17.99,100.00,0
5.52,20.97,8.93,20.48,17.99,100.00,0
5.55,25.68,7.85,25.01,21.06,100.00,0
5.57,22.36,7.84,21.83,19.53,100.00,0
5.59,24.16,8.32,23.40,19.85,100.00,0
5.62,20.09,7.92,19.98,19.44,100.00,0
5.64,22.28,7.12,21.23,19.41,100.00,0
5.66,24.92,10.02,24.72,19.61,100.00,0
5.68,24.75,9.14,23.92,19.68,100.00,0
5.71,23.69,8.15,23.00,18.58,100.00,0
5.73,26.41,8.56,25.43,19.49,100.00,0
5.76,24.67,8.15,24.35,19.49,100.00,0
5.78,22.54,8.93,21.81,19.75,100.00,0
5.81,24.85,8.76,24.18,19.70,100.00,0
5.83,22.76,9.12,22.15,19.35,100.00,0
5.85,23.61,8.15,22.98,19.79,100.00,0
5.88,25.03,9.02,24.13,18.34,100.00,0
5.90,21.35,8.68,20.80,18.34,100.00,0
5.92,25.03,9.28,24.12,19.01,100.00,0
5.95,23.01,8.60,23.19,18.79,100.00,0
5.97,24.68,8.68,23.98,18.40,100.00,0
6.00,22.27,9.78,21.31,18.40,100.00,0
6.02,26.48,8.91,26.03,20.00,100.00,0
6.05,24.70,8.42,24.13,19.36,100.00,0
6.07,23.05,8.47,22.41,19.85,100.00,0
6.09,24.82,8.97,24.05,19.64,100.00,0
6.12,22.00,9.14,21.65,18.36,100.00,0
6.14,24.83,8.59,24.18,19.60,100.00,0
