Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,28.76,6.82,28.07,26.25,100.00,0
50,29.32,6.99,28.67,26.59,100.00,0
75,29.89,7.20,29.22,26.87,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,29.13,7.76,28.40,26.47,100.00,0
0.03,28.02,7.25,27.28,25.73,100.00,0
0.06,29.36,6.62,28.68,26.37,100.00,0
0.09,29.33,6.93,28.71,26.14,100.00,0
0.12,29.35,7.29,28.55,26.28,100.00,0
0.15,27.62,7.39,27.04,25.32,100.00,0
0.17,28.74,6.85,27.85,25.60,100.00,0
0.20,28.98,7.15,28.28,26.47,100.00,0
0.23,30.15,9.01,29.56,27.16,100.00,0
0.26,28.68,6.71,27.84,26.29,100.00,0
0.29,29.47,7.14,28.90,26.11,100.00,0
0.32,27.97,7.03,27.04,25.89,100.00,0
0.35,29.47,7.03,28.80,26.32,100.00,0
0.38,29.74,6.88,28.80,26.43,100.00,0
0.41,28.32,7.61,27.82,26.10,100.00,0
0.43,29.26,7.20,28.67,26.35,100.00,0
0.46,29.26,6.90,28.56,26.32,100.00,0
0.49,28.77,6.90,28.06,26.43,100.00,0
0.52,30.63,6.97,30.05,26.24,100.00,0
0.55,27.65,6.83,26.85,25.99,100.00,0
0.58,28.54,7.63,28.49,25.83,100.00,0
0.61,29.11,6.98,28.33,26.35,100.00,0
0.64,29.32,7.58,28.53,26.16,100.00,0
0.67,29.71,6.99,29.25,26.57,100.00,0
0.70,28.59,6.90,27.65,26.28,100.00,0
0.73,29.55,6.84,29.06,26.67,100.00,0
0.75,29.12,6.90,28.42,26.46,100.00,0
0.78,28.59,7.13,28.01,26.17,100.00,0
0.81,31.09,7.89,30.29,26.35,100.00,0
0.84,28.14,7.13,27.59,26.38,100.00,0
0.87,28.60,8.71,27.69,26.36,100.00,0
0.90,39.00,8.34,28.13,26.57,100.00,0
0.94,20.53,16.62,29.76,26.57,100.00,0
0.96,29.93,6.92,29.01,26.45,100.00,0
0.99,28.44,7.99,27.90,26.45,100.00,0
1.02,28.76,6.79,28.22,26.38,100.00,0
1.05,29.32,6.55,28.53,26.22,100.00,0
1.08,28.66,6.69,28.12,26.26,100.00,0
1.10,29.37,6.72,28.63,26.11,100.00,0
1.13,29.77,7.03,29.16,26.21,100.00,0
1.16,26.20,6.74,25.61,24.96,100.00,0
1.19,30.06,6.76,29.41,25.74,100.00,0
1.22,28.28,7.30,27.46,26.54,100.00,0
1.25,30.30,8.06,29.70,26.50,100.00,0
1.28,28.92,6.33,28.43,26.32,100.00,0
1.31,29.05,6.56,28.28,26.71,100.00,0
1.34,29.74,6.71,28.88,26.87,100.00,0
1.37,29.11,6.85,28.55,26.42,100.00,0
1.40,28.93,7.06,28.15,26.27,100.00,0
1.42,29.67,7.14,29.04,26.56,100.00,0
1.45,28.48,7.14,27.84,26.24,100.00,0
1.48,29.74,6.56,29.19,26.47,100.00,0
1.51,29.90,6.62,28.79,26.29,100.00,0
1.54,27.63,8.00,27.15,25.61,100.00,0
1.57,28.43,6.63,27.55,25.44,100.00,0
1.60,37.22,6.86,36.61,34.59,100.00,0
1.64,27.18,7.12,26.54,24.99,100.00,0
1.66,29.33,8.23,28.63,25.94,100.00,0
1.69,28.10,6.42,27.46,26.06,100.00,0
1.72,28.76,6.84,28.14,26.34,100.00,0
1.75,29.27,6.40,28.37,26.51,100.00,0
1.78,29.90,6.44,29.39,26.75,100.00,0
1.81,29.64,6.63,28.96,26.68,100.00,0
1.84,28.86,6.88,28.08,26.20,100.00,0
1.87,28.86,6.72,28.21,26.28,100.00,0
1.90,29.15,6.93,28.58,25.46,100.00,0
1.92,28.55,7.09,27.77,26.42,100.00,0
1.95,29.64,6.72,28.99,27.36,100.00,0
1.98,29.82,6.81,29.28,26.44,100.00,0
2.01,28.75,7.00,28.03,26.45,100.00,0
2.04,29.13,6.59,28.32,25.89,100.00,0
2.07,28.22,6.80,27.57,26.04,100.00,0
2.10,28.74,6.86,28.18,26.22,100.00,0
2.13,28.80,6.56,28.05,25.95,100.00,0
2.16,29.01,6.76,28.34,26.14,100.00,0
2.19,28.84,6.99,28.15,26.13,100.00,0
2.21,29.75,6.70,29.13,26.38,100.00,0
2.24,28.84,6.81,28.12,26.56,100.00,0
2.27,29.80,7.50,29.15,26.36,100.00,0
2.30,29.44,6.41,28.76,26.46,100.00,0
2.33,27.95,7.06,27.26,26.26,100.00,0
2.36,29.26,6.79,28.44,26.35,100.00,0
2.39,28.99,6.53,28.31,26.41,100.00,0
2.42,28.89,6.56,28.23,26.40,100.00,0
2.45,29.49,6.86,28.86,26.25,100.00,0
2.48,29.49,6.70,28.78,26.25,100.00,0
2.51,28.21,6.49,27.58,26.13,100.00,0
2.53,29.82,7.91,29.15,26.58,100.00,0
2.56,28.32,7.08,27.42,25.75,100.00,0
2.59,29.91,6.80,29.48,26.13,100.00,0
2.62,28.53,7.04,27.86,26.81,100.00,0
2.65,29.83,6.56,28.98,26.56,100.00,0
2.68,28.93,6.98,28.33,26.10,100.00,0
2.71,26.60,6.65,25.88,25.37,100.00,0
2.74,28.34,6.95,27.62,25.20,100.00,0
2.76,29.59,6.97,28.97,26.57,100.00,0
2.79,29.49,6.97,28.80,26.61,100.00,0
2.82,29.66,6.57,28.97,26.47,100.00,0
2.85,28.37,6.59,27.65,25.96,100.00,0
2.88,29.27,7.36,28.59,26.62,100.00,0
2.91,31.55,6.83,30.72,26.54,100.00,0
2.94,29.45,7.70,28.73,26.62,100.00,0
2.97,29.03,9.04,28.40,26.87,100.00,0
3.00,31.36,9.01,30.06,26.88,100.00,0
