Percentile,Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
25,7.91,4.30,7.62,4.70,100.00,0
50,8.19,4.45,7.90,4.78,100.00,0
75,8.53,4.64,8.21,4.84,100.00,0
Time (sec),Frame (ms), GT (ms), RT (ms), GPU (ms),DynRes,Context
0.00,11.76,11.52,8.12,0.00,100.00,0
0.01,5.63,5.68,8.04,4.42,100.00,0
0.02,8.06,4.29,7.54,5.01,100.00,0
0.03,8.27,4.16,7.97,4.45,100.00,0
0.03,7.81,4.42,7.68,4.50,100.00,0
0.04,7.77,4.19,7.53,4.40,100.00,0
0.05,8.09,4.19,7.74,4.47,100.00,0
0.06,7.83,4.67,7.52,4.47,100.00,0
0.07,7.98,4.34,7.81,4.43,100.00,0
0.07,8.74,4.18,8.57,4.47,100.00,0
0.08,8.50,4.46,8.05,5.28,100.00,0
0.09,7.74,4.37,7.44,4.33,100.00,0
0.10,8.06,4.52,7.91,4.78,100.00,0
0.11,8.87,4.26,8.61,4.86,100.00,0
0.12,8.58,4.43,8.25,4.70,100.00,0
0.12,7.75,4.37,7.58,4.79,100.00,0
0.13,7.86,4.37,7.41,4.68,100.00,0
0.14,8.24,4.19,8.05,4.88,100.00,0
0.15,7.95,4.29,7.58,4.91,100.00,0
0.16,8.07,4.55,7.78,4.78,100.00,0
0.16,8.14,4.45,7.88,4.92,100.00,0
0.17,7.60,4.31,7.35,4.91,100.00,0
0.18,7.36,4.42,7.15,4.80,100.00,0
0.19,7.86,4.34,7.71,4.73,100.00,0
0.19,7.29,3.92,6.96,4.81,100.00,0
0.20,7.73,4.34,7.48,4.90,100.00,0
0.21,7.42,4.56,7.11,4.86,100.00,0
0.22,8.75,4.09,8.47,4.81,100.00,0
0.23,7.87,4.52,7.44,4.71,100.00,0
0.23,8.07,4.80,7.98,4.71,100.00,0
0.24,7.98,4.71,7.60,4.68,100.00,0
0.25,8.33,4.88,7.98,4.68,100.00,0
0.26,8.26,4.60,6.62,4.80,100.00,0
0.27,7.94,4.57,9.26,4.63,100.00,0
0.27,7.62,4.57,7.22,4.72,100.00,0
0.28,9.05,4.75,8.73,4.68,100.00,0
0.29,7.39,4.59,7.36,4.88,100.00,0
0.30,7.23,4.42,7.03,4.91,100.00,0
0.31,7.94,4.76,7.42,4.90,100.00,0
0.31,7.54,4.76,7.55,4.81,100.00,0
0.32,8.30,4.50,7.84,4.84,100.00,0
0.33,7.87,4.65,7.71,4.82,100.00,0
0.34,8.31,4.52,8.11,4.83,100.00,0
0.35,8.45,4.60,8.17,4.87,100.00,0
0.35,8.37,4.69,8.04,4.95,100.00,0
0.36,8.61,4.84,8.41,4.87,100.00,0
0.37,8.70,4.59,8.49,4.86,100.00,0
0.38,7.92,5.06,7.47,5.50,100.00,0
0.39,7.46,5.10,7.28,5.50,100.00,0
0.39,9.08,4.71,8.93,4.69,100.00,0
0.40,7.98,4.80,7.59,4.73,100.00,0
0.41,8.18,4.83,7.81,4.63,100.00,0
0.42,8.64,4.61,8.31,4.81,100.00,0
0.43,7.93,4.81,7.59,4.68,100.00,0
0.44,8.00,4.73,7.77,4.61,100.00,0
0.44,7.86,4.47,7.58,4.80,100.00,0
0.45,7.93,4.86,7.62,4.69,100.00,0
0.46,8.13,4.82,7.78,4.68,100.00,0
0.47,8.32,4.76,8.14,4.66,100.00,0
0.48,8.27,4.76,7.98,4.75,100.00,0
0.49,8.16,4.61,7.69,4.69,100.00,0
0.49,7.92,4.62,7.47,4.79,100.00,0
0.50,8.13,4.59,7.75,4.80,100.00,0
0.51,7.82,4.13,7.57,4.83,100.00,0
0.52,8.00,4.30,7.69,4.85,100.00,0
0.53,7.82,4.34,7.59,4.75,100.00,0
0.53,8.31,4.19,7.94,4.75,100.00,0
0.54,7.83,4.26,7.68,4.73,100.00,0
0.55,7.86,4.22,7.58,4.49,100.00,0
0.56,7.97,4.07,7.68,4.50,100.00,0
0.57,7.51,4.21,7.29,4.43,100.00,0
0.57,7.92,4.27,7.22,4.40,100.00,0
0.58,8.00,4.39,7.88,4.44,100.00,0
0.59,7.36,4.29,7.08,4.34,100.00,0
0.60,7.32,4.01,7.10,4.49,100.00,0
0.60,7.64,4.27,7.36,4.69,100.00,0
0.61,8.00,4.03,7.66,4.91,100.00,0
0.62,8.21,4.42,7.79,4.74,100.00,0
0.63,9.28,4.86,8.87,4.74,100.00,0
0.64,8.40,4.99,7.94,4.89,100.00,0
0.64,8.64,4.39,8.45,4.83,100.00,0
0.65,7.79,4.25,7.44,4.79,100.00,0
0.66,8.03,4.77,7.79,4.79,100.00,0
0.67,8.33,4.34,7.90,4.64,100.00,0
0.68,8.10,5.40,8.00,4.89,100.00,0
0.69,9.03,4.47,8.51,4.71,100.00,0
0.69,8.12,4.78,8.09,4.83,100.00,0
0.70,8.68,4.20,8.14,4.83,100.00,0
0.71,8.15,4.49,7.87,4.85,100.00,0
0.72,9.16,4.52,8.83,4.76,100.00,0
0.73,8.85,4.68,8.51,4.82,100.00,0
0.74,8.33,4.84,8.13,4.76,100.00,0
0.75,8.47,4.39,8.17,4.61,100.00,0
0.75,8.16,4.70,8.02,4.77,100.00,0
0.76,9.29,5.46,8.73,4.82,100.00,0
0.77,8.21,4.71,8.15,4.77,100.00,0
0.78,8.29,4.30,8.14,4.82,100.00,0
0.79,7.36,4.18,7.11,4.70,100.00,0
0.80,8.46,4.17,8.00,4.82,100.00,0
0.80,7.96,4.53,7.52,4.67,100.00,0
0.81,7.63,4.14,7.38,4.41,100.00,0
0.82,7.77,4.28,7.52,4.36,100.00,0
0.83,8.50,4.06,8.15,4.43,100.00,0
0.84,7.73,4.11,7.46,4.38,100.00,0
0.84,8.02,4.20,8.00,4.43,100.00,0
0.85,8.35,4.33,7.97,4.56,100.00,0
0.86,8.71,5.01,8.60,4.59,100.00,0
0.87,8.48,4.70,8.21,4.91,100.00,0
